Date,ONI,cocoa_price,coffee_price,gold_price,soybean_price,wheat_price,natural_gas_price,us_interest_rate,usd_index
2000-09-30,-0.42,797.0,83.0,273.6000061035156,499.0,258.0,5.199999809265137,6.03000020980835,113.25
2000-11-30,-0.76,704.0,67.19999694824219,270.1000061035156,502.0,252.5,6.579999923706055,6.010000228881836,115.23999786376953
2000-12-31,-0.78,758.0,65.55000305175781,272.0,499.0,272.75,9.774999618530273,5.730000019073486,109.55999755859375
2001-01-31,-0.76,1020.0,63.75,265.6000061035156,459.75,271.0,5.650000095367432,4.840000152587891,110.5199966430664
2001-02-28,-0.54,1131.0,63.900001525878906,266.79998779296875,454.75,257.5,5.244999885559082,4.71999979019165,112.01000213623047
2001-03-31,-0.43,1073.0,60.29999923706055,257.8999938964844,436.0,265.0,5.03000020980835,4.179999828338623,117.37000274658203
2001-05-31,-0.19,936.0,57.150001525878906,265.29998779296875,438.0,264.75,3.9140000343322754,3.5399999618530273,119.06999969482422
2001-06-30,-0.08,974.0,56.099998474121094,270.6000061035156,457.5,244.75,3.0959999561309814,3.559999942779541,119.43000030517578
2001-08-31,-0.13,927.0,50.5,274.3999938964844,474.5,274.25,2.380000114440918,3.2799999713897705,113.41999816894531
2001-09-30,-0.15,1077.0,48.29999923706055,292.3999938964844,460.25,275.0,2.24399995803833,2.299999952316284,113.4800033569336
2001-10-31,-0.26,1017.0,43.900001525878906,279.5,431.0,295.25,3.2909998893737793,2.009999990463257,114.86000061035156
2001-11-30,-0.33,1355.0,42.599998474121094,273.8999938964844,439.5,278.0,2.7009999752044678,1.7300000190734863,116.12999725341797
2001-12-31,-0.32,1310.0,46.20000076293945,278.70001220703125,423.75,291.0,2.569999933242798,1.6699999570846558,116.75
2002-01-31,-0.15,1344.0,45.099998474121094,282.1000061035156,429.5,286.5,2.1500000953674316,1.7200000286102295,120.23999786376953
2002-02-28,0.07,1466.0,44.75,296.70001220703125,442.5,271.5,2.3550000190734863,1.7200000286102295,119.16000366210938
2002-03-31,0.11,1494.0,57.20000076293945,302.6000061035156,473.5,294.5,3.244999885559082,1.7400000095367432,118.62000274658203
2002-04-30,0.15,1540.0,50.70000076293945,308.8999938964844,462.25,261.75,3.765000104904175,1.7300000190734863,115.19000244140625
2002-05-31,0.3,1598.0,51.900001525878906,326.5,508.75,282.25,3.2170000076293945,1.7050000429153442,111.80999755859375
2002-06-30,0.45,1630.0,46.5,313.5,536.5,307.0,3.244999885559082,1.659000039100647,106.11000061035156
2002-07-31,0.57,1787.0,46.79999923706055,303.20001220703125,567.5,334.0,2.9539999961853027,1.6649999618530273,107.41000366210938
2002-08-31,0.63,2012.0,51.5,312.3999938964844,559.0,362.25,3.2960000038146973,1.6449999809265137,106.9800033569336
2002-10-31,0.99,1927.0,65.94999694824219,318.0,565.25,402.25,4.156000137329102,1.4170000553131104,106.63999938964844
2002-11-30,1.19,1750.0,66.5999984741211,316.79998779296875,578.75,373.0,4.199999809265137,1.2020000219345093,106.41000366210938
2003-01-31,0.9,2409.0,65.30000305175781,368.29998779296875,564.0,320.5,5.605000019073486,1.1480000019073486,99.91000366210938
2003-02-28,0.59,2080.0,56.849998474121094,350.20001220703125,577.0,312.5,8.10099983215332,1.1749999523162842,99.70999908447266
2003-03-31,0.38,1960.0,58.650001525878906,335.8999938964844,574.5,286.75,5.059999942779541,1.090000033378601,99.05999755859375
2003-04-30,-0.01,2076.0,68.25,339.1000061035156,623.5,279.5,5.385000228881836,1.1009999513626099,97.19000244140625
2003-05-31,-0.18,1493.0,58.349998474121094,364.5,624.5,324.25,6.25,1.0850000381469727,93.2699966430664
2003-07-31,0.09,1465.0,63.45000076293945,354.0,532.5,348.5,4.7179999351501465,0.9269999861717224,96.88999938964844
2003-08-31,0.14,1820.0,61.45000076293945,375.70001220703125,595.0,367.5,4.730999946594238,0.9599999785423279,98.0999984741211
2003-09-30,0.23,1626.0,62.900001525878906,385.3999938964844,677.25,360.25,4.829999923706055,0.9259999990463257,92.8499984741211
2003-10-31,0.23,1440.0,58.650001525878906,384.5,794.25,369.5,4.89300012588501,0.9319999814033508,92.7300033569336
2003-11-30,0.29,1446.0,57.75,396.79998779296875,756.25,406.75,4.925000190734863,0.9079999923706055,90.20999908447266
2003-12-31,0.29,1515.0,64.94999694824219,415.70001220703125,789.0,377.0,6.189000129699707,0.9070000052452087,86.91999816894531
2004-01-31,0.34,1520.0,75.5,402.20001220703125,819.5,389.0,5.396999835968018,0.8970000147819519,87.19999694824219
2004-03-31,0.19,1549.0,73.75,427.29998779296875,995.0,408.0,5.933000087738037,0.9229999780654907,87.61000061035156
2004-04-30,0.1,1413.0,67.1500015258789,387.0,1034.0,381.5,5.861999988555908,0.9520000219345093,90.4800033569336
2004-05-31,0.12,1465.0,85.55000305175781,394.0,814.0,362.0,6.441999912261963,1.0520000457763672,88.94999694824219
2004-06-30,0.22,1336.0,73.0999984741211,392.6000061035156,893.0,338.0,6.15500020980835,1.3029999732971191,88.80000305175781
2004-07-31,0.39,1645.0,66.44999694824219,391.0,599.5,312.25,6.111999988555908,1.4119999408721924,89.95999908447266
2004-09-30,0.58,1453.0,82.3499984741211,418.70001220703125,527.0,306.75,6.795000076293945,1.6740000247955322,87.36000061035156
2004-10-31,0.61,1469.0,74.4000015258789,428.5,527.5,316.5,8.725000381469727,1.8669999837875366,84.91000366210938
2004-11-30,0.64,1661.0,94.44999694824219,451.29998779296875,534.75,289.75,7.619999885559082,2.181999921798706,81.81999969482422
2004-12-31,0.71,1547.0,103.75,437.5,547.75,307.5,6.14900016784668,2.181999921798706,80.8499984741211
2005-01-31,0.62,1525.0,105.3499984741211,421.79998779296875,514.75,291.0,6.321000099182129,2.421999931335449,83.5999984741211
2005-02-28,0.55,1715.0,119.1500015258789,436.5,615.5,337.25,6.730000019073486,2.690000057220459,82.51000213623047
2005-03-31,0.4,1613.0,126.4000015258789,428.70001220703125,627.5,331.0,7.6529998779296875,2.7219998836517334,84.05999755859375
2005-04-30,0.37,1459.0,125.1500015258789,435.0,619.25,318.0,6.585000038146973,2.8369998931884766,84.43000030517578
2005-06-30,0.09,1440.0,104.6500015258789,435.8999938964844,651.75,321.5,6.980999946594238,3.059999942779541,89.11000061035156
2005-07-31,-0.04,1479.0,103.1500015258789,429.8999938964844,671.75,327.75,7.885000228881836,3.3320000171661377,89.3499984741211
2005-08-31,-0.14,1350.0,97.75,433.79998779296875,586.75,301.5,11.472000122070312,3.430000066757202,87.58000183105469
2005-09-30,-0.11,1413.0,93.44999694824219,469.0,573.25,346.25,13.920999526977539,3.4700000286102295,89.5199966430664
2005-10-31,-0.27,1351.0,96.6500015258789,465.1000061035156,564.75,317.0,12.204999923706055,3.805000066757202,90.06999969482422
2005-11-30,-0.57,1408.0,93.0,494.6000061035156,558.0,304.0,12.630000114440918,3.8570001125335693,91.56999969482422
2005-12-31,-0.82,1504.0,107.0999984741211,517.0999755859375,602.0,339.25,11.225000381469727,3.984999895095825,91.16999816894531
2006-02-28,-0.8,1450.0,111.80000305175781,561.5999755859375,580.25,370.25,6.714000225067139,4.506999969482422,90.11000061035156
2006-03-31,-0.63,1489.0,107.0,581.7999877929688,571.5,347.75,7.210000038146973,4.514999866485596,89.7300033569336
